country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
SDN,NA,SDN,SDN,Sudan,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SEN,433,SEN,SEN,Senegal,1904,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SEN,NA,SEN,SEN,Senegal,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SGP,830,SGP,SGP,Singapore,1867,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SGP,NA,SGP,SGP,Singapore,1960,1995,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SHN,NA,SHN,NA,Saint Helena,1960,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
SLB,940,SLB,SLB,Solomon Islands,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SLB,NA,SLB,SLB,Solomon Islands,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SLE,451,SLE,SLE,Sierra Leone,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SLE,NA,SLE,SLE,Sierra Leone,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SLV,92,SLV,SLV,El Salvador,1838,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SLV,NA,SLV,SLV,El Salvador,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SML,NA,NA,SML,Somaliland,1900,2024,FALSE,FALSE,TRUE,FALSE,vdem,NA
SMR,331,NA,NA,San Marino,1992,2025,TRUE,FALSE,FALSE,FALSE,unga,NA
SOM,520,SOM,SOM,Somalia,1900,2026,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SOM,NA,SOM,SOM,Somalia,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SPD,NA,NA,SPD,Piedmont-Sardinia,1789,1861,FALSE,FALSE,TRUE,FALSE,vdem,NA
SRB,345,SRB,SRB,Serbia,1804,2024,FALSE,FALSE,TRUE,TRUE,vdem,Serbia; COW 345 shared with YUG. V-Dem's label for the whole 345 series.
SRB,NA,SRB,SRB,Serbia,1994,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,Serbia; COW 345 shared with YUG. V-Dem's label for the whole 345 series.
SSD,626,SSD,SSD,South Sudan,2011,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,South Sudan; seceded from SDN 2011.
SSD,NA,SSD,SSD,South Sudan,2011,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,South Sudan; seceded from SDN 2011.
STP,403,STP,STP,São Tomé & Príncipe,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
STP,NA,STP,STP,Sao Tome and Principe,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SUR,115,SUR,SUR,Suriname,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SUR,NA,SUR,SUR,Suriname,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SVK,317,SVK,SVK,Slovakia,1939,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SVK,NA,SVK,SVK,Slovak Republic,1999,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
SVN,349,SVN,SVN,Slovenia,1989,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SVN,NA,SVN,SVN,Slovenia,1993,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
SWE,380,SWE,SWE,Sweden,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SWE,NA,SWE,SWE,Sweden,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
SWZ,572,SWZ,SWZ,Eswatini,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SWZ,NA,SWZ,SWZ,Eswatini,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SXM,NA,SXM,NA,Sint Maarten,1960,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
SXN,269,NA,SXN,Saxony,1789,1867,FALSE,FALSE,TRUE,FALSE,vdem,NA
SYC,591,SYC,SYC,Seychelles,1903,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SYC,NA,SYC,SYC,Seychelles,1960,2017,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SYR,652,SYR,SYR,Syria,1918,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
SYR,NA,SYR,SYR,Syrian Arab Republic,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TCA,NA,TCA,NA,Turks and Caicos Islands,1972,2007,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
TCD,483,TCD,TCD,Chad,1920,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TCD,NA,TCD,TCD,Chad,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TGO,461,TGO,TGO,Togo,1916,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TGO,NA,TGO,TGO,Togo,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
THA,800,THA,THA,Thailand,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
THA,NA,THA,THA,Thailand,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
TJK,702,TJK,TJK,Tajikistan,1990,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
TJK,NA,TJK,TJK,Tajikistan,1992,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TKL,NA,TKL,NA,Tokelau,1972,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
TKM,701,TKM,TKM,Turkmenistan,1990,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
TKM,NA,TKM,TKM,Turkmenistan,1992,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TLS,860,TLS,TLS,Timor-Leste,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
TLS,NA,TLS,TLS,Timor-Leste,1961,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
TON,NA,TON,NA,Tonga,1960,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
TON,955,TON,NA,Tonga,2000,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
TSC,337,NA,TSC,Tuscany,1789,1860,FALSE,FALSE,TRUE,FALSE,vdem,NA
TSC,NA,NA,TSC,Tuscany,1861,1861,FALSE,FALSE,TRUE,FALSE,vdem,NA
TTO,52,TTO,TTO,Trinidad & Tobago,1900,2028,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TTO,NA,TTO,TTO,Trinidad and Tobago,1961,2010,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TUN,616,TUN,TUN,Tunisia,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TUN,NA,TUN,TUN,Tunisia,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
TUR,640,TUR,TUR,Turkey,1789,2024,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TUR,NA,TUR,TUR,Türkiye,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
TUV,NA,TUV,NA,Tuvalu,1975,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
TUV,947,TUV,NA,Tuvalu,2000,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
TWN,713,TWN,TWN,Taiwan,1900,2024,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
TWN,NA,TWN,TWN,Chinese Taipei,1960,2023,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
TWS,329,NA,TWS,Two Sicilies,1789,1860,FALSE,FALSE,TRUE,FALSE,vdem,NA
TZA,510,TZA,TZA,Tanzania,1914,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
TZA,NA,TZA,TZA,Tanzania,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
UGA,500,UGA,UGA,Uganda,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
UGA,NA,UGA,UGA,Uganda,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
UKR,369,UKR,UKR,Ukraine,1946,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
UKR,NA,UKR,UKR,Ukraine,2005,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
URY,165,URY,URY,Uruguay,1825,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
URY,NA,URY,URY,Uruguay,1960,2017,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
USA,2,USA,USA,United States,1789,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
USA,NA,USA,USA,United States,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
UZB,704,UZB,UZB,Uzbekistan,1789,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
UZB,NA,UZB,UZB,Uzbekistan,1992,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
VCT,NA,VCT,NA,Saint Vincent and the Grenadines,1971,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
VCT,57,VCT,NA,St. Vincent & Grenadines,1981,2025,TRUE,TRUE,FALSE,TRUE,unga+unsc,NA
VDR,817,NA,VDR,Republic of Vietnam,1802,1975,FALSE,FALSE,TRUE,FALSE,vdem,NA
VEN,101,VEN,VEN,Venezuela,1789,2024,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
