"country","election_date","year","system_family","prev_mag","delta_log_mag_eff","n_pre","n_post","cmp_country","usable"
"Portugal",1976-04-25,1976,"proportional",11.95,1.37547444699074,1,16,TRUE,FALSE
"Romania",2016-12-11,2016,"proportional",7.76328267477204,NA,7,1,TRUE,FALSE
"Sierra Leone",1996-02-27,1996,"proportional",68,4.21950770517611,0,0,FALSE,FALSE
"Sierra Leone",2002-05-14,2002,"majoritarian",1,-4.21950770517611,0,0,FALSE,FALSE
"Somalia",1960-02-17,1960,"majoritarian",2.75,0.0676950127713515,0,0,FALSE,FALSE
"Somalia",1964-03-30,1964,"proportional",2.62,-0.0484265939054743,0,0,FALSE,FALSE
"South Korea",1988-04-26,1988,"mixed",19.561872909699,2.97358241205234,0,8,TRUE,FALSE
"South Korea",2020-04-15,2020,"mixed",8.20666666666667,0,7,1,TRUE,FALSE
"Spain",1931-06-28,1931,"majoritarian",7.46,1.81893505460702,0,16,TRUE,FALSE
"Spain",1977-06-15,1977,"proportional",6.73,-0.157752760213151,0,16,TRUE,FALSE
"Sri Lanka",1989-02-15,1989,"proportional",11.4993777777778,2.44229292762521,7,0,TRUE,FALSE
"Suriname",1991-05-25,1991,"proportional",5.1,-0.0866342319729021,0,0,FALSE,FALSE
"Sweden",1952-09-21,1952,"proportional",8.21,0,2,22,TRUE,FALSE
"Taiwan",2008-01-12,2008,"mixed",10.929203539823,-0.110492844962434,0,0,FALSE,FALSE
"Thailand",2001-01-06,2001,"mixed",20.8,2.11069408518394,0,0,FALSE,FALSE
"Ukraine",1998-03-29,1998,"mixed",113,4.72738781871234,1,7,TRUE,FALSE
"Venezuela",1993-12-05,1993,"mixed",2.68729920753909,-1.20404474377349,0,0,FALSE,FALSE
"Yugoslavia",1923-03-18,1923,"proportional",5.78,-0.294578651510841,0,0,FALSE,FALSE
